hmnckjfcfi 1 1 53 Rich Normal
ntwieikczs 6 3 12 Attractive Desperate
jlzyplhunn 2 10 19 Attractive Desperate
ivceegpqko 9 2 79 Attractive Choosy
loilmxywtm 2 3 28 Rich Choosy
sgawngccyn 1 9 13 Rich Choosy
dczlplknhe 1 9 38 Intelligent Choosy
gfziboofqo 1 5 95 Rich Desperate
hecgqtuahd 7 3 25 Rich Choosy
qnarxdfojv 10 2 75 Intelligent Desperate
gglkpbeldl 10 7 67 Intelligent Desperate
rhhtyfxeti 2 2 22 Attractive Desperate
spfdzwgfhl 10 4 93 Intelligent Desperate
qfvxytcvzx 2 10 64 Intelligent Normal
rnzyqyuyed 8 7 14 Intelligent Desperate
rxrowqjbnj 9 4 75 Attractive Choosy
unztnrrirx 9 9 50 Attractive Choosy
ijiaxhqhif 1 1 87 Rich Normal
kwtlrgckot 5 5 5 Rich Desperate
hqesqbzikh 4 5 5 Rich Normal
tbeomvvrgl 8 5 9 Attractive Normal
ksookhrjpc 9 10 83 Intelligent Normal
pdxtrjrocz 8 2 33 Intelligent Desperate
nbrbrbijma 8 1 2 Attractive Choosy
dkrcgkoxbq 6 2 49 Attractive Choosy
fcywdraoao 6 10 51 Rich Normal
hfxahdmvcp 5 5 77 Rich Choosy
pyppxvgzlj 3 6 100 Rich Desperate
lphjrrogmr 8 3 62 Attractive Choosy
hhuywtvesi 2 1 98 Attractive Choosy
qdizozqdhf 6 6 59 Intelligent Choosy
dwcaxatueo 3 7 64 Attractive Desperate
mgruigwalf 9 8 86 Rich Choosy
hstjssjomq 3 2 51 Attractive Normal
cmovjwdhzo 4 5 7 Rich Choosy
ugqpqihbyt 4 3 38 Rich Desperate
tnpjjaiojh 10 8 36 Intelligent Desperate
jwdznvjwyi 9 5 75 Attractive Desperate
nyrehcgpqp 3 4 19 Attractive Desperate
lvyqumnfil 10 1 54 Attractive Choosy
